org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:135) http-outgoing-1 >> POST /session/48d9de4dfa3f193d5ddfd629ddebeb14/window/current/maximize HTTP/1.1 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> Content-Type: application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> Content-Length: 26 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> Host: localhost:20174 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> Connection: Keep-Alive 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_91) 
org.apache.http.headers 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted(LoggingManagedHttpClientConnection.java:138) http-outgoing-1 >> Accept-Encoding: gzip,deflate 
org.apache.http.wire 2018-01-04 21:22:58,859 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "POST /session/48d9de4dfa3f193d5ddfd629ddebeb14/window/current/maximize HTTP/1.1[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,875 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,875 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "Content-Length: 26[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,875 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "Host: localhost:20174[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,875 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,877 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_91)[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,877 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,877 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 >> "[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,877 org.apache.http.impl.conn.Wire.wire(Wire.java:86) http-outgoing-1 >> "{"windowHandle":"current"}" 
org.apache.http.wire 2018-01-04 21:23:00,918 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 << "HTTP/1.1 200 OK[\r][\n]" 
org.apache.http.wire 2018-01-04 21:23:00,918 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 << "Content-Length:290[\r][\n]" 
org.apache.http.wire 2018-01-04 21:23:00,925 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 << "Content-Type:application/json; charset=utf-8[\r][\n]" 
org.apache.http.wire 2018-01-04 21:23:00,926 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 << "Connection:close[\r][\n]" 
org.apache.http.wire 2018-01-04 21:23:00,927 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-1 << "[\r][\n]" 
org.apache.http.wire 2018-01-04 21:23:00,927 org.apache.http.impl.conn.Wire.wire(Wire.java:86) http-outgoing-1 << "{"sessionId":"48d9de4dfa3f193d5ddfd629ddebeb14","status":102,"value":{"message":"disconnected: unable to connect to renderer\n  (Session info: chrome=63.0.3239.84)\n  (Driver info: chromedriver=2.30.477700 (0057494ad8732195794a7b32078424f92a5fce41),platform=Windows NT 10.0.15063 x86_64)"}}" 
org.apache.http.headers 2018-01-04 21:23:00,927 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:124) http-outgoing-1 << HTTP/1.1 200 OK 
org.apache.http.headers 2018-01-04 21:23:00,927 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-1 << Content-Length:290 
org.apache.http.headers 2018-01-04 21:23:00,927 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-1 << Content-Type:application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:23:00,927 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-1 << Connection:close 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:23:00,927 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.close(LoggingManagedHttpClientConnection.java:81) http-outgoing-1: Close connection 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:23:00,927 org.apache.http.impl.execchain.ConnectionHolder.releaseConnection(ConnectionHolder.java:103) Connection discarded 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:23:00,927 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection(PoolingHttpClientConnectionManager.java:320) Connection released: [id: 1][route: {}->http://localhost:20174][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
com.ess.scripts.VerifyLoginLogout 2018-01-04 21:24:22,924 com.ess.common.BaseTest.initFrameWork(BaseTest.java:55) initializing ExtentReport 
com.ess.scripts.VerifyLoginLogout 2018-01-04 21:24:23,464 com.ess.common.BaseTest.initBrowser(BaseTest.java:75) Execution started on Browser:firefox 
com.ess.scripts.VerifyLoginLogout 2018-01-04 21:24:23,480 com.ess.common.BaseTest.initApplication(BaseTest.java:87) Browser:firefox 
com.ess.scripts.VerifyLoginLogout 2018-01-04 21:25:02,448 com.ess.common.BaseTest.initApplication(BaseTest.java:98) TimeOut:30 
com.ess.scripts.VerifyLoginLogout 2018-01-04 21:25:02,549 com.ess.common.BaseTest.preCondition(BaseTest.java:122) explicit login required 
org.apache.http.impl.execchain.RetryExec 2018-01-04 21:25:14,256 org.apache.http.impl.execchain.RetryExec.execute(RetryExec.java:96) I/O exception (org.apache.http.NoHttpResponseException) caught when processing request to {}->http://127.0.0.1:7055: The target server failed to respond 
org.apache.http.impl.execchain.RetryExec 2018-01-04 21:25:14,269 org.apache.http.impl.execchain.RetryExec.execute(RetryExec.java:112) Retrying request to {}->http://127.0.0.1:7055 
